na,t1,t2,r1,r2,n1,n2,,id,,Name,Abbreviation,
2,1,4,2,20,224,227,,ARCHER1050,,Osimertinib,OSI,5
2,5,6,3,2,279,136,,AURA3,,Erlotinib,ERL,2
2,1,2,0,0,128,128,,CTONG0901,,Gefitinib,GEF,1
2,2,6,4,0,84,82,,EURTAC,,Afatinib,AFA,3
2,1,6,4,2,159,150,,First-SIGNAL,,Dacomitinib,DAC,4
2,6,7,1,3,132,132,,IMPRESS,,PBDC,PBDC,6
2,1,6,23,8,607,589,,IPASS,,PBDC + Gefitinib,GEF+PBDC,7
2,3,6,33,0,229,111,,Lux-Lung 3,,,,
2,3,6,13,12,239,113,,LUX-lung 6,,,,
2,1,3,2,20,159,160,,Lux-Lung 7,,,,
2,1,6,1,0,114,114,,NEJ002,,,,
2,2,6,1,0,83,72,,OPTIMAL,,,,
2,1,6,1,0,87,88,,WJTOG3405,,,,
2,1,6,4,1,118,114,,Yang 2014,,,,
2,6,7,0,1,59,58,,Yu 2014,,,,
2,1 and 2,5,6,6,277,279,,FLAURA,,,,
