na,t1,t2,r1,r2,n1,n2,id,,Abbreviation,
2,1,4,0,10,224,227,ARCHER1050,,OSI,5
2,5,6,2,0,279,136,AURA3,,ERL,2
2,1,2,0,3,128,128,CTONG0901,,GEF,1
2,2,6,7,1,110,104,ENSURE,,AFA,3
2,2,6,11,0,84,82,EURTAC,,DAC,4
2,1,6,47,3,159,150,First-SIGNAL,,PBDC,6
2,6,7,0,0,132,132,IMPRESS,,GEF+PBDC,7
2,1,6,19,5,607,589,IPASS,,,
2,3,6,37,0,229,111,Lux-Lung 3,,,
2,3,6,35,0,239,113,LUX-lung 6,,,
2,1,3,5,15,159,160,Lux-Lung 7,,,
2,1,6,6,3,114,114,NEJ002,,,
2,2,6,2,0,83,72,OPTIMAL,,,
2,1,6,2,0,87,88,WJTOG3405,,,
2,1,6,3,0,118,114,Yang 2014,,,
2,6,7,0,9,59,58,Yu 2014,,,
2,1 and 2,5,19,3,277,279,FLAURA,,,
