r1,r2,r3,r4,r5,r6,r7,r8,r9,z1,z2,z3,dt1,dt2,time,study,pfs,os,study_intervention
,,0,,,3,,,3,210,209,209,1,2,1,1,,0.987,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,3,,,8,,,9,209,209,209,1,2,3,1,,0.964,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,9,,,14,,,20,209,209,209,1,2,5,1,,0.933,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,20,,,24,,,26,209,203,203,1,2,7,1,,0.88,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,26,,,28,,,35,203,203,202,1,2,9,1,,0.861,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,35,,,35,,,39,202,201,201,1,2,11,1,,0.824,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,39,,,40,,,45,201,199,199,1,2,13,1,,0.797,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,45,,,49,,,52,199,199,191,1,2,15,1,,0.755,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,52,,,56,,,59,191,191,191,1,2,17,1,,0.705,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,59,,,62,,,67,191,191,191,1,2,19,1,,0.675,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,67,,,72,,,67,191,191,175,1,2,21,1,,0.625,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,67,,,70,,,70,175,175,174,1,2,23,1,,0.6,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA2).xlsx
,,0,,,3,,,5,201,199,199,1,2,1,2,,0.983,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,5,,,8,,,11,199,199,199,1,2,3,2,,0.958,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,11,,,13,,,14,199,199,198,1,2,5,2,,0.937,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,14,,,21,,,25,198,194,194,1,2,7,2,,0.891,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,25,,,31,,,34,194,194,192,1,2,9,2,,0.838,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,34,,,38,,,41,192,192,192,1,2,11,2,,0.802,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,41,,,44,,,48,192,192,192,1,2,13,2,,0.771,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,48,,,52,,,56,192,191,190,1,2,15,2,,0.726,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,56,,,64,,,69,190,190,190,1,2,17,2,,0.662,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,69,,,71,,,75,190,186,186,1,2,19,2,,0.619,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,75,,,80,,,78,186,186,171,1,2,21,2,,0.571,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
,,78,,,82,,,83,171,171,171,1,2,23,2,,0.52,AURA2 Mitsudomi 2017 Osimertinib_80mg (EGFR+_T790+_AURA_EXT).xlsx
116,,,111,,,104,,,116,112,112,1,2,1,3,0.99,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
104,,,95,,,85,,,112,112,103,1,2,3,3,0.846,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
85,,,72,,,63,,,103,102,102,1,2,5,3,0.704,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
63,,,44,,,40,,,102,78,77,1,2,7,3,0.564,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
40,,,35,,,22,,,77,77,55,1,2,9,3,0.454,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
22,,,21,,,20,,,55,55,55,1,2,11,3,0.375,,AURA3 Mok 2017 Osimertinib (EGFR+_T790M+).xlsx
