name,effects,line,mutation,method,model,sd_tx_effect,pd_tx_effect,dic
"1L MA for gefitinib, FE",Absolute,1,NA,FE,"Fractional Polynomial (0, 0)",N/A,N/A,3080
"1L MA for gefitinib, FE",Absolute,1,NA,FE,"Fractional Polynomial (0, 1)",N/A,N/A,3079
"1L MA for gefitinib, FE",Absolute,1,NA,FE,Weibull,N/A,N/A,3078
"1L MA for gefitinib, FE",Absolute,1,NA,FE,Gompertz,N/A,N/A,3095
"1L NMA, FE",Relative,1,NA,FE,"Fractional Polynomial (0, 0)",none,constant,9698
"1L NMA, FE",Relative,1,NA,FE,"Fractional Polynomial (0, 1)",none,constant,9656
"1L NMA, FE",Relative,1,NA,FE,Weibull,none,constant,9637
"1L NMA, FE",Relative,1,NA,FE,Gompertz,none,constant,9749
"1L NMA, RE",Relative,1,NA,RE,"Fractional Polynomial (0, 0)",none,constant,9672
"1L NMA, RE",Relative,1,NA,RE,"Fractional Polynomial (0, 1)",none,constant,9689
"1L NMA, RE",Relative,1,NA,RE,Weibull,none,constant,9649
"1L NMA, RE",Relative,1,NA,RE,Gompertz,none,constant,9756
"1L NMA, FE",Relative,1,NA,FE,"Fractional Polynomial (0, 0)",none,none,9689
"1L NMA, FE",Relative,1,NA,FE,"Fractional Polynomial (0, 1)",none,none,9710
"1L NMA, FE",Relative,1,NA,FE,Weibull,none,none,9618
"1L NMA, FE",Relative,1,NA,FE,Gompertz,none,none,9743
"1L NMA, RE",Relative,1,NA,RE,"Fractional Polynomial (0, 0)",none,none,9671
"1L NMA, RE",Relative,1,NA,RE,"Fractional Polynomial (0, 1)",none,none,9685
"1L NMA, RE",Relative,1,NA,RE,Weibull,none,none,9648
"1L NMA, RE",Relative,1,NA,RE,Gompertz,none,none,9760
"2L MA for PBDC, FE",Absolute,2,0,FE,"Fractional Polynomial (0, 0)",N/A,N/A,321
"2L MA for PBDC, FE",Absolute,2,0,FE,"Fractional Polynomial (0, 1)",N/A,N/A,318
"2L MA for PBDC, FE",Absolute,2,0,FE,Weibull,N/A,N/A,322
"2L MA for PBDC, FE",Absolute,2,0,FE,Gompertz,N/A,N/A,331
"2L MA for osimertinib (T790M+), FE",Absolute,2,1,FE,"Fractional Polynomial (0, 0)",N/A,N/A,218
"2L MA for osimertinib (T790M+), FE",Absolute,2,1,FE,"Fractional Polynomial (0, 1)",N/A,N/A,244
"2L MA for osimertinib (T790M+), FE",Absolute,2,1,FE,Weibull,N/A,N/A,165
"2L MA for osimertinib (T790M+), FE",Absolute,2,1,FE,Gompertz,N/A,N/A,173
