Trial ID and References,Population,Treatment,Age,,,Gender,Race and Ethnicity,,Smoking status,,,
Trial ID,,,Estimate - Median,"Range, min","Range, max","Females, %, reported","Caucasian, %, reported","Asian, %, reported","Current/former smoker, %, reported","Current smoker, %, reported","Former smoker, %, reported","Never smoker, %, reported"
ARCHER1050,All,Dacomitinib,62,--,--,64.00%,25.00%,75.00%,--,7.00%,29.00%,65.00%
ARCHER1050,All,Gefitinib,61,--,--,56.00%,22.00%,78.00%,--,8.00%,28.00%,64.00%
ENSURE,ITT,Erlotinib,57.5,33,79,61.80%,--,100.00%,--,24.50%,3.60%,71.80%
ENSURE,ITT,Cisplatin + Gemcitabine,56,30,78,60.70%,--,100.00%,--,29.00%,1.90%,69.20%
EURTAC,ITT,Erlotinib,65,24,82,67.00%,98.00%,--,--,8.00%,26.00%,66.00%
EURTAC,ITT,Carboplatin/Cisplatin + Docetaxel/Gemcitabine,65,29,82,78.00%,98.00%,--,--,14.00%,14.00%,72.00%
First-SIGNAL,ITT,Gefitinib,57,32,74,88.00%,--,100.00%,--,--,--,100.00%
First-SIGNAL,ITT,Cisplatin + Gemcitabine,56.5,19,74,89.30%,--,100.00%,--,--,--,100.00%
FLAURA,ITT,Osimertinib,64,26,85,64.00%,36.00%,62.00%,--,3.00%,32.00%,65.00%
FLAURA,ITT,Gefitinib (66%) /Erlotinib (34%),64,35,93,62.00%,36.00%,62.00%,--,3.00%,34.00%,63.00%
Han 2017,ITT,Carboplatin + Pemetrexed + Gefitinib,--,--,--,62.50%,--,100.00%,32.50%,--,--,67.50%
Han 2017,ITT,Carboplatin + Pemetrexed,--,--,--,57.50%,--,100.00%,27.50%,--,--,72.50%
Han 2017,ITT,Gefitinib,--,--,--,56.10%,--,100.00%,34.10%,--,--,65.90%
IPASS,ITT,Gefitinib,57,24,84,79.50%,--,99.70%,--,--,6.30%,93.80%
IPASS,ITT,Carboplatin + Paclitaxel,57,25,84,79.10%,--,99.80%,--,--,6.40%,93.60%
IPASS,EGFR+,Gefitinib,--,--,--,81.80%,--,--,--,--,--,93.90%
IPASS,EGFR+,Carboplatin + Paclitaxel,--,--,--,79.80%,--,--,--,--,--,94.60%
LUX-LUNG 3,All,Afatinib,61.5,28,86,63.90%,26.50%,71.70%,--,2.20%,30.40%,67.40%
LUX-LUNG 3,All,Cisplatin + Pemetrexed,61,31,83,67.00%,26.10%,72.20%,--,1.70%,27.80%,70.40%
LUX-LUNG 6,All,Afatinib,58,--,--,64.00%,0.00%,100.00%,21.90%,--,--,74.80%
LUX-LUNG 6,All,Cisplatin + Gemcitabine,58,--,--,68.00%,0.00%,100.00%,15.60%,--,--,81.10%
LUX-LUNG 7,ITT,Afatinib,63,30,86,57.00%,30.00%,59.00%,34.00%,--,--,66.00%
LUX-LUNG 7,ITT,Gefitinib,63,32,89,67.00%,34.00%,55.00%,33.00%,--,--,67.00%
NEJ002,ITT,Gefitinib,--,43,75,63.20%,--,100.00%,34.20%,--,--,65.80%
NEJ002,ITT,Carboplatin + Paclitaxel,--,35,75,64.00%,--,100.00%,42.10%,--,--,57.90%
OPTIMAL,All,Erlotinib,57,31,74,59.00%,--,100.00%,28.00%,--,--,72.00%
OPTIMAL,All,Carboplatin + Gemcitabine,59,36,78,60.00%,--,100.00%,31.00%,--,--,69.00%
WJTOG3405,ITT,Gefitinib,64,34,74,68.60%,--,100.00%,29.10%,--,--,--
WJTOG3405,ITT,Docetaxel + Cisplatin,64,41,75,69.80%,--,100.00%,33.70%,--,--,--
Yang 2014,ITT,Cisplatin + Pemetrexed followed by Gefitinib maintenance,59,24,81,75.00%,--,100.00%,--,--,8.00%,92.00%
Yang 2014,ITT,Gefitinib,59,31,79,75.00%,--,100.00%,--,--,8.00%,92.00%
