Trial ID and Reference,,,,,,,,Randomized,,Trial Characteristics,,,,,,,
Trial ID,"NCT Code 
",Author,Year,Study design,Phase of Trial,Arm 1,Arm 2,Arm 1,Arm 2,"Month, Year of trial Initiation",Estimated study completion date,Study completion date,Masking,Region,Multicenter,Planned Treatment Duration,Crossover permitted
ARCHER1050,NCT01774721,Wu,2017,RCT,III,Dacomitinib,Gefitinib,227,225,"April, 2013","March 29, 2019",--,Open-label,"China, Hong Kong, Italy, Japan, South Korea, Poland, Spain",Yes,--,No
ENSURE,NCT01342965,Wu,2015,RCT,III,Erlotinib,Cisplatin + Gemcitabine,110,107,"March, 2011",--,"April, 2014",Open-label,"China, Malaysia, Philippines",Yes,"UPD, unacceptable toxicity",Yes
EURTAC,NCT00446225,Rosell,2012,RCT,III,Erlotinib,Chemotherapy (Cisplatin + Docetaxel/Gemcitabine),86,87,"February, 2007",--,"December, 2012",Open-label,"France, Italy, Spain",Yes,"UDP, intolerable toxic effects, or withdrawal of consent.",Yes
First-SIGNAL,--,Han,2012,RCT,III,Gefitinib,Cisplatin + Gemcitabine,159,154,--,--,--,Open-label,South Korea,Yes,"Until clinical or objective disease progression, unacceptable toxicity or patient's refusal, whichever is sooner. The chemoterhapy will be administered for no more than nine cycles. ",No
FLAURA,NCT02296125,Soria,2018,RCT,III,Osimertinib,Gefitinib/Erlotinib,279,277,"December, 2014","June 28, 2019",--,Double-blind,"Australia, Belgium, Brazil, Bulgaria, Canada, China, Czechia, France, Germany, Hungary, Israel, Italy, Japan, South Korea, Malaysia, Philippines, Poland, Portugal, Romania, Russian Federation, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Thailand, Turkey, Ukraine, United Kingdom, Vietnam",Yes,"UDP, unacceptable side effects, or withdrawal of consent.",Yes
Han 2017,NCT02148380,Han,2017,RCT,II,Carboplatin + Pemetrexed + Gefitinib,Carboplatin + Pemetrexed,40,40,"May, 2014",--,"December, 2015",Open-label,China,No,"UDP, unacceptable toxicity or death.",No
IPASS,NCT00322452,Mok,2009,RCT,III,Gefitinib,Carboplatin + Paclitaxel,609,608,"March, 2006",--,"June, 2010",Open-label,"China, Hong Kong, Indonesia, Japan, Malaysia, Philippines, Singapore, Taiwan, Thailand",Yes,"UDP, unacceptable toxicity or request for discontinuation by patient.",No
LUX-lung 3,NCT00949650,Sequist,2013,RCT,III,Afatinib,Cisplatin + Pemetrexed,230,115,"August, 2009",--,"March 16, 2017",Open-label,"United States, Argentina, Australia, Austria, Belgium, Brazil, Canada, Chile, France, Germany, Hong Kong, Hungary, Ireland, Italy, Japan, Korea, Malaysia, Peru, Phillippines, Romania, Russia, Taiwan, Thailand, Ukraine, United Kingdom",Yes,Investigator-assessed progression,Yes
LUX-lung 6,NCT01121393,Wu,2014,RCT,III,Afatinib,Cisplatin + Gemcitabine,242,122,"April, 2010",--,"November 26, 2017",Open-label,"China, South Korea, Thailand",Yes,"UDP, intolerable toxic effects, or withdrawal of consent.",Yes
LUX-lung 7,NCT01466660,Park,2016,RCT,IIb,Afatinib,Gefitinib,160,159,"December, 2011",--,"May 31, 2018",Open-label,"Australia, Canada, China, France, Germany, Hong Kong, Ireland, South Korea, Norway, Singapore, Spain, Sweden, Taiwan, United Kingdom",Yes,"UDP, intolerable toxic effects, or withdrawal of consent.",No
NEJ002,C000000376,Maemondo,2010,RCT,III,Gefitinib,Carboplatin + Paclitaxel,115,115,"March, 2006",--,--,Open-label,Japan,Yes,"UDP, intolerable toxic effects, or withdrawal of consent.",Yes
OPTIMAL,NCT00874419,Zhou,2011,RCT,III,Erlotinib,Carboplatin + Gemcitabine,83,82,"August, 2008",--,"July, 2012",Open-label,China,No,"UDP, unacceptable toxic effects or up to 4 cycles of platinum-based doublet chemotherapy. ",No
WJTOG3405,UMIN000000539,Mitsudomi,2010,RCT,III,Gefitinib,Docetaxel + Cisplatin,88,89,"January, 2006",--,"January, 2011",Open-label,Japan,Yes,"UDP, development of unacceptable toxic effects, a
request by the patient to discontinue treatment, serious
non-compliance with the protocol, or completion of three
to six chemotherapy cycles.",No
Yang 2014,NCT01017874,Yang,2014,RCT,III,Cisplatin + Pemetrexed followed by Gefitinib maintenance,Gefitinib,118,118,"November, 2009",--,"October, 2014",Open-label,"Hong Kong, Korea, Singapore, Taiwan, Thailand",Yes,"UDP, discontinuation or death.",No
