trial_id,population,treatment,age_median,age_min,age_max,female_prop,caucasian_prop,asian_prop,current_or_former_smoker_prop,current_smoker_prop,former_smoker_prop,never_smoker_prop
ARCHER1050,All,Dacomitinib,62,,,0.6400,0.2500,0.75,,0.07,0.29,0.6500
ARCHER1050,All,Gefitinib,61,,,0.5600,0.2200,0.78,,0.08,0.28,0.6400
ENSURE,ITT,Erlotinib,57.5,33,79,0.6180,,1,,0.245,0.036,0.7180
ENSURE,ITT,Cisplatin + Gemcitabine,56,30,78,0.6070,,1,,0.29,0.019,0.6920
EURTAC,ITT,Erlotinib,65,24,82,0.6700,0.9800,,,0.08,0.26,0.6600
EURTAC,ITT,Carboplatin/Cisplatin + Docetaxel/Gemcitabine,65,29,82,0.7800,0.9800,,,0.14,0.14,0.7200
First-SIGNAL,ITT,Gefitinib,57,32,74,0.8800,,1,,,,1.0000
First-SIGNAL,ITT,Cisplatin + Gemcitabine,56.5,19,74,0.8930,,1,,,,1.0000
FLAURA,ITT,Osimertinib,64,26,85,0.6400,0.3600,0.62,,0.03,0.32,0.6500
FLAURA,ITT,Gefitinib (66%) / Erlotinib (34%),64,35,93,0.6200,0.3600,0.62,,0.03,0.34,0.6300
Han 2017,ITT,Carboplatin + Pemetrexed + Gefitinib,,,,0.6250,,1,0.325,,,0.6750
Han 2017,ITT,Carboplatin + Pemetrexed,,,,0.5750,,1,0.275,,,0.7250
Han 2017,ITT,Gefitinib,,,,0.5610,,1,0.341,,,0.6590
IPASS,ITT,Gefitinib,57,24,84,0.7950,,0.997,,,0.063,0.9380
IPASS,ITT,Carboplatin + Paclitaxel,57,25,84,0.7910,,0.998,,,0.064,0.9360
IPASS,EGFR+,Gefitinib,,,,0.8180,,,,,,0.9390
IPASS,EGFR+,Carboplatin + Paclitaxel,,,,0.7980,,,,,,0.9460
LUX-LUNG 3,All,Afatinib,61.5,28,86,0.6390,0.2650,0.717,,0.022,0.304,0.6740
LUX-LUNG 3,All,Cisplatin + Pemetrexed,61,31,83,0.6700,0.2610,0.722,,0.017,0.278,0.7040
LUX-LUNG 6,All,Afatinib,58,,,0.6400,0.0000,1,0.219,,,0.7480
LUX-LUNG 6,All,Cisplatin + Gemcitabine,58,,,0.6800,0.0000,1,0.156,,,0.8110
LUX-LUNG 7,ITT,Afatinib,63,30,86,0.5700,0.3000,0.59,0.34,,,0.6600
LUX-LUNG 7,ITT,Gefitinib,63,32,89,0.6700,0.3400,0.55,0.33,,,0.6700
NEJ002,ITT,Gefitinib,,43,75,0.6320,,1,0.342,,,0.6580
NEJ002,ITT,Carboplatin + Paclitaxel,,35,75,0.6400,,1,0.421,,,0.5790
OPTIMAL,All,Erlotinib,57,31,74,0.5900,,1,0.28,,,0.7200
OPTIMAL,All,Carboplatin + Gemcitabine,59,36,78,0.6000,,1,0.31,,,0.6900
WJTOG3405,ITT,Gefitinib,64,34,74,0.6860,,1,0.291,,,
WJTOG3405,ITT,Docetaxel + Cisplatin,64,41,75,0.6980,,1,0.337,,,
Yang 2014,ITT,Cisplatin + Pemetrexed followed by Gefitinib maintenance,59,24,81,0.7500,,1,,,0.08,0.9200
Yang 2014,ITT,Gefitinib,59,31,79,0.7500,,1,,,0.08,0.9200
